"Вход","№","Тип имот","Стай","Бани","Етаж","Общо етажи","Земя Площ","Жилищна площ ","Общи части","Застроена площ","Цена / m2","Цена ","Валута","Обзавеждане"
"G","2","Апартамент","2","1","2","6","1.200","90","50","100","100","10000","EUR","Необзаведен"
"G","3","Апартамент","2","1","2","6","1.201","90","50","100","100","10000","EUR","Необзаведен"
"G","4","Апартамент","2","1","2","6","1.202","90","50","100","100","10000","EUR","Необзаведен"
"G","5","Апартамент","2","1","2","6","1.203","90","50","100","100","10000","EUR","Необзаведен"
"G","6","Апартамент","2","1","2","6","1.204","90","50","100","100","10000","EUR","Необзаведен"
"G","7","Апартамент","2","1","2","6","1.205","90","50","100","100","10000","EUR","Необзаведен"
"G","8","Апартамент","2","1","2","6","1.206","90","50","100","100","10000","EUR","Необзаведен"
"G","9","Апартамент","2","1","2","6","1.207","90","50","100","100","10000","EUR","Необзаведен"
"G","10","Апартамент","2","1","2","6","1.208","90","50","100","100","10000","EUR","Необзаведен"
"G","11","Апартамент","2","1","2","6","1.209","90","50","100","100","10000","EUR","Необзаведен"
"G","12","Апартамент","2","1","2","6","1.210","90","50","100","100","10000","EUR","Необзаведен"
"G","13","Апартамент","2","1","2","6","1.211","90","50","100","100","10000","EUR","Необзаведен"
"G","14","Апартамент","2","1","2","6","1.212","90","50","100","100","10000","EUR","Необзаведен"
"G","15","Апартамент","2","1","2","6","1.213","90","50","100","100","10000","EUR","Необзаведен"
"G","16","Апартамент","2","1","2","6","1.214","90","50","100","100","10000","EUR","Необзаведен"
