"Вход","№","Тип имот","Стай","Легла","Бани","Етаж","Общо етажи","Земя Площ","Застроена площ","Цена / m2","Стара цена","Нова цена","Валута"
" G1 ","21"," Апартамент","2","4","1","2","3","100","54","100","100","100","EUR"
" G2","22"," Апартамент","2","4","1","2","3","100","54","100","100","100","EUR"
" G3","23"," Апартамент","2","4","1","2","3","100","54","100","100","100","EUR"
" G4","24"," Апартамент","2","4","1","2","3","100","54","100","100","100","EUR"
" G5","25"," Апартамент","2","4","1","2","3","100","54","100","100","100","EUR"
" G6","26"," Апартамент","2","4","1","2","3","100","54","100","100","100","EUR"
" G7","27"," Апартамент","2","4","1","2","3","100","54","100","100","100","EUR"
" G8","28"," Апартамент","2","4","1","2","3","100","54","100","100","100","EUR"
" G9","29"," Апартамент","2","4","1","2","3","100","54","100","100","100","EUR"
" G10","30"," Апартамент","2","4","1","2","3","100","54","100","100","100","EUR"
" G11","31"," Апартамент","2","4","1","2","3","100","54","100","100","100","EUR"
" G12","32"," Апартамент","2","4","1","2","3","100","54","100","100","100","EUR"
" G13","33"," Апартамент","2","4","1","2","3","100","54","100","100","100","EUR"
" G14","34"," Апартамент","2","4","1","2","3","100","54","100","100","100","EUR"
" G15","35"," Апартамент","2","4","1","2","3","100","54","100","100","100","EUR"
" G16","36"," Апартамент","2","4","1","2","3","100","54","100","100","100","EUR"
